iter	Passed	Remaining
0	64	194742
1	68	102245
2	71	71622
3	74	56048
4	78	47015
5	81	40636
6	85	36411
7	88	33147
8	92	30628
9	96	28834
10	100	27270
11	103	25790
12	107	24686
13	110	23636
14	114	22714
15	118	22043
16	122	21424
17	126	20955
18	130	20406
19	133	19926
20	137	19502
21	141	19096
22	144	18707
23	148	18373
24	151	18050
25	155	17773
26	159	17510
27	162	17254
28	166	17040
29	169	16800
30	173	16569
31	177	16439
32	180	16224
33	183	16042
34	187	15861
35	190	15693
36	194	15546
37	197	15402
38	201	15312
39	205	15221
40	209	15100
41	213	15034
42	217	14938
43	221	14856
44	224	14766
45	228	14669
46	232	14604
47	235	14505
48	240	14469
49	245	14458
50	248	14385
51	252	14298
52	255	14208
53	258	14115
54	262	14042
55	265	13967
56	269	13896
57	272	13830
58	276	13767
59	280	13726
60	284	13696
61	287	13631
62	292	13640
63	296	13596
64	299	13545
65	303	13487
66	306	13428
67	310	13380
68	314	13342
69	317	13277
70	320	13218
71	323	13160
72	327	13130
73	331	13112
74	335	13075
75	339	13049
76	342	13000
77	346	12966
78	349	12928
79	353	12887
80	357	12891
81	361	12864
82	365	12846
83	369	12825
84	373	12799
85	377	12784
86	380	12746
87	383	12704
88	387	12665
89	390	12627
90	394	12610
91	397	12576
92	401	12545
93	404	12518
94	408	12503
95	412	12475
96	416	12456
97	420	12454
98	424	12428
99	427	12391
100	430	12362
101	433	12330
102	438	12324
103	441	12296
104	446	12299
105	450	12294
106	453	12270
107	457	12257
108	462	12256
109	465	12237
110	469	12210
111	472	12190
112	476	12170
113	479	12144
114	483	12118
115	486	12096
116	490	12083
117	494	12083
118	498	12059
119	501	12035
120	505	12016
121	508	11998
122	512	11980
123	516	11971
124	519	11955
125	523	11934
126	527	11924
127	530	11906
128	534	11889
129	537	11872
130	541	11852
131	544	11832
132	548	11816
133	551	11795
134	555	11781
135	558	11760
136	562	11744
137	565	11724
138	568	11706
139	572	11691
140	575	11670
141	579	11668
142	583	11650
143	586	11642
144	590	11626
145	594	11616
146	597	11598
147	600	11579
148	604	11567
149	608	11562
150	612	11548
151	616	11543
152	619	11530
153	622	11512
154	626	11507
155	630	11491
156	633	11470
157	636	11451
158	639	11435
159	643	11422
160	647	11417
161	651	11411
162	655	11417
163	659	11406
164	664	11416
165	668	11410
166	671	11394
167	675	11388
168	679	11377
169	683	11378
170	686	11365
171	690	11356
172	694	11355
173	699	11355
174	703	11361
175	707	11349
176	711	11341
177	715	11346
178	719	11337
179	722	11319
180	725	11305
181	729	11292
182	732	11283
183	736	11266
184	739	11256
185	743	11245
186	747	11238
187	750	11221
188	753	11207
189	757	11204
190	761	11195
191	764	11182
192	768	11177
193	771	11165
194	775	11153
195	778	11136
196	782	11131
197	785	11119
198	789	11105
199	792	11093
200	795	11082
201	799	11070
202	802	11058
203	805	11044
204	809	11033
205	812	11019
206	815	11009
207	819	10998
208	822	10985
209	826	10978
210	829	10970
211	833	10959
212	837	10953
213	840	10942
214	844	10944
215	848	10937
216	851	10925
217	855	10917
218	858	10903
219	861	10892
220	865	10878
221	868	10867
222	872	10866
223	877	10869
224	880	10856
225	883	10843
226	886	10832
227	890	10822
228	894	10825
229	897	10813
230	901	10805
231	904	10792
232	908	10783
233	911	10774
234	914	10765
235	919	10764
236	922	10752
237	925	10744
238	930	10745
239	933	10740
240	937	10729
241	940	10720
242	944	10715
243	948	10717
244	952	10707
245	955	10697
246	959	10689
247	962	10682
248	965	10670
249	969	10660
250	973	10658
251	977	10658
252	981	10653
253	984	10648
254	988	10637
255	991	10631
256	995	10622
257	998	10611
258	1002	10604
259	1005	10599
260	1009	10589
261	1012	10580
262	1016	10576
263	1019	10567
264	1024	10568
265	1027	10557
266	1031	10554
267	1034	10546
268	1037	10537
269	1041	10527
270	1044	10518
271	1047	10507
272	1052	10509
273	1055	10499
274	1058	10489
275	1061	10478
276	1065	10471
277	1068	10466
278	1072	10458
279	1075	10451
280	1079	10443
281	1083	10446
282	1087	10437
283	1090	10427
284	1093	10419
285	1097	10412
286	1100	10403
287	1104	10400
288	1107	10391
289	1110	10380
290	1114	10375
291	1117	10366
292	1121	10360
293	1125	10359
294	1129	10356
295	1132	10347
296	1136	10345
297	1139	10335
298	1143	10326
299	1146	10319
300	1150	10312
301	1153	10302
302	1157	10301
303	1160	10292
304	1163	10281
305	1167	10278
306	1170	10269
307	1174	10262
308	1177	10252
309	1181	10248
310	1184	10244
311	1188	10235
312	1192	10234
313	1195	10230
314	1199	10223
315	1203	10217
316	1206	10209
317	1209	10201
318	1213	10200
319	1217	10193
320	1220	10187
321	1224	10185
322	1228	10182
323	1232	10181
324	1236	10176
325	1240	10171
326	1243	10162
327	1246	10155
328	1251	10156
329	1254	10152
330	1258	10147
331	1262	10142
332	1265	10135
333	1268	10128
334	1272	10122
335	1275	10116
336	1279	10109
337	1283	10107
338	1287	10106
339	1291	10105
340	1295	10100
341	1299	10101
342	1303	10094
343	1306	10087
344	1310	10084
345	1313	10076
346	1316	10068
347	1320	10061
348	1323	10052
349	1326	10045
350	1330	10044
351	1334	10036
352	1337	10029
353	1341	10026
354	1345	10022
355	1348	10016
356	1351	10008
357	1354	9999
358	1358	9994
359	1361	9987
360	1365	9980
361	1368	9973
362	1371	9964
363	1375	9958
364	1378	9949
365	1381	9942
366	1385	9941
367	1389	9935
368	1392	9927
369	1395	9921
370	1399	9920
371	1402	9911
372	1406	9904
373	1409	9897
374	1413	9892
375	1416	9885
376	1419	9879
377	1423	9872
378	1426	9866
379	1430	9866
380	1434	9859
381	1437	9853
382	1441	9851
383	1445	9850
384	1449	9848
385	1453	9841
386	1457	9837
387	1460	9833
388	1464	9827
389	1467	9822
390	1471	9817
391	1474	9813
392	1479	9812
393	1482	9806
394	1486	9800
395	1489	9795
396	1492	9789
397	1496	9784
398	1501	9786
399	1506	9794
400	1512	9800
401	1515	9795
402	1519	9790
403	1523	9788
404	1527	9786
405	1530	9780
406	1534	9773
407	1537	9767
408	1540	9761
409	1544	9756
410	1548	9751
411	1551	9746
412	1554	9739
413	1558	9732
414	1561	9728
415	1565	9722
416	1569	9720
417	1572	9713
418	1576	9709
419	1579	9702
420	1582	9697
421	1586	9690
422	1590	9688
423	1593	9682
424	1597	9676
425	1600	9672
426	1604	9665
427	1607	9660
428	1610	9652
429	1613	9645
430	1616	9637
431	1620	9630
432	1624	9628
433	1627	9621
434	1630	9614
435	1633	9607
436	1637	9604
437	1640	9597
438	1644	9590
439	1647	9583
440	1650	9576
441	1653	9569
442	1656	9563
443	1660	9556
444	1663	9552
445	1667	9547
446	1671	9545
